type,manufacturer,model,yom,price,date
Registered,suzuki,WAGON R FX,2018,4475000,12/1/2021
Registered,suzuki,WAGON R FX,2018,4825000,1/1/2022
Registered,suzuki,WAGON R FX,2018,5025000,2/1/2022
Registered,suzuki,WAGON R FX,2018,5225000,3/1/2022
Registered,suzuki,WAGON R FX,2018,5325000,4/1/2022
Registered,suzuki,WAGON R FX,2018,5250000,5/1/2022
Registered,suzuki,WAGON R FX,2018,5175000,6/1/2022
Registered,suzuki,WAGON R FX,2018,5175000,7/1/2022
Registered,suzuki,WAGON R FX,2018,4575000,8/1/2022
Registered,suzuki,WAGON R FX,2018,4525000,9/1/2022
Registered,suzuki,WAGON R FX,2018,4225000,10/1/2022
Registered,suzuki,WAGON R FX,2018,4175000,11/1/2022
Registered,suzuki,WAGON R FX,2018,4150000,12/1/2022
Registered,suzuki,WAGON R FX,2018,4100000,1/1/2023
Registered,suzuki,WAGON R FX,2018,4125000,2/1/2023
Registered,suzuki,WAGON R FX,2018,4225000,3/1/2023
Registered,suzuki,WAGON R FX,2018,4200000,4/1/2023
Registered,suzuki,WAGON R FX,2018,4150000,5/1/2023
Registered,suzuki,WAGON R FX,2018,4125000,6/1/2023
Registered,suzuki,WAGON R FX,2018,4425000,7/1/2023
Registered,suzuki,WAGON R FX,2018,4725000,8/1/2023
Registered,suzuki,WAGON R FX,2018,4825000,9/1/2023
Registered,suzuki,WAGON R FX,2018,4875000,10/1/2023
Registered,suzuki,WAGON R FX,2018,4975000,11/1/2023
Registered,suzuki,WAGON R FX,2018,5175000,12/1/2023
Registered,suzuki,WAGON R FX,2018,5375000,1/1/2024
Registered,suzuki,WAGON R FX,2018,5475000,2/1/2024
Registered,suzuki,WAGON R FX,2018,5575000,3/1/2024
Registered,suzuki,WAGON R FX,2018,5675000,4/1/2024
Registered,suzuki,WAGON R FX,2018,5475000,5/1/2024
Registered,suzuki,WAGON R FX,2018,5775000,6/1/2024
Registered,suzuki,WAGON R FX,2018,5825000,7/1/2024
Registered,suzuki,WAGON R FX,2018,5875000,8/1/2024
Registered,suzuki,WAGON R FX,2018,5925000,9/1/2024
Registered,suzuki,WAGON R FX,2018,5925000,10/1/2024
Registered,suzuki,WAGON R FX,2018,5825000,11/1/2024
Registered,suzuki,WAGON R FX,2018,5675000,12/1/2024
Registered,suzuki,WAGON R FX,2018,5475000,1/1/2025
Registered,suzuki,WAGON R FX,2018,5375000,2/1/2025
Registered,suzuki,WAGON R FX,2018,5075000,3/1/2025
Registered,suzuki,WAGON R FX,2018,5225000,4/1/2025
Registered,suzuki,WAGON R FX,2018,5475000,5/1/2025
Registered,suzuki,WAGON R FX,2018,5875000,6/1/2025
Registered,suzuki,WAGON R FX,2018,5975000,7/1/2025
Registered,suzuki,WAGON R FX,2018,6075000,8/1/2025
Registered,suzuki,WAGON R FX,2018,5775000,9/1/2025
Registered,suzuki,WAGON R FX,2018,5475000,10/1/2025
Registered,suzuki,WAGON R FX,2019,2950000,7/1/2020
Registered,suzuki,WAGON R FX,2019,3100000,8/1/2020
Registered,suzuki,WAGON R FX,2019,3400000,9/1/2020
Registered,suzuki,WAGON R FX,2019,3350000,10/1/2020
Registered,suzuki,WAGON R FX,2019,3385000,11/1/2020
Registered,suzuki,WAGON R FX,2019,3385000,12/1/2020
Registered,suzuki,WAGON R FX,2019,3425000,1/1/2021
Registered,suzuki,WAGON R FX,2019,3465000,2/1/2021
Registered,suzuki,WAGON R FX,2019,3495000,3/1/2021
Registered,suzuki,WAGON R FX,2019,3550000,4/1/2021
Registered,suzuki,WAGON R FX,2019,3570000,5/1/2021
Registered,suzuki,WAGON R FX,2019,3550000,6/1/2021
Registered,suzuki,WAGON R FX,2019,3570000,7/1/2021
Registered,suzuki,WAGON R FX,2019,3600000,8/1/2021
Registered,suzuki,WAGON R FX,2019,3900000,9/1/2021
Registered,suzuki,WAGON R FX,2019,4750000,10/1/2021
Registered,suzuki,WAGON R FX,2019,4560000,11/1/2021
Registered,suzuki,WAGON R FX,2019,4625000,12/1/2021
Registered,suzuki,WAGON R FX,2019,4975000,1/1/2022
Registered,suzuki,WAGON R FX,2019,5175000,2/1/2022
Registered,suzuki,WAGON R FX,2019,5375000,3/1/2022
Registered,suzuki,WAGON R FX,2019,5475000,4/1/2022
Registered,suzuki,WAGON R FX,2019,5350000,5/1/2022
Registered,suzuki,WAGON R FX,2019,5350000,6/1/2022
Registered,suzuki,WAGON R FX,2019,5300000,7/1/2022
Registered,suzuki,WAGON R FX,2019,4700000,8/1/2022
